#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      268.6   107.0   101.3   162.3   176.4   252.5   289.7   311.7   328.1   347.9   376.3   423.5   531.8  1003.0  3767.9  30023.0    30000  1777057490402  1777057500576
read      269.6   102.7    93.8   157.8   173.5   252.6   291.2   314.1   331.9   353.9   384.8   434.7   548.2   800.7  2967.7  30015.0    30005  1777057502088  1777057512218
read      268.3   106.0    93.8   159.0   174.0   251.5   289.2   311.4   328.3   349.4   379.6   430.0   549.3   820.4  3585.2  29985.4    30010  1777057513730  1777057523833
read      259.2   134.7    93.8   154.6   167.6   239.0   275.3   297.0   314.1   335.1   364.3   412.4   544.3  1773.8  5231.2  30012.0    30015  1777057525345  1777057535447
read      256.0   119.8    93.8   153.3   166.0   235.9   271.8   293.2   309.8   330.0   359.1   408.2   571.8  1371.5  4223.6  30001.4    30020  1777057536959  1777057547060
read      257.9   134.0   101.3   153.1   165.6   235.3   272.0   294.0   311.2   332.4   362.6   415.8   588.6  1842.9  4536.2  30078.2    30025  1777057548573  1777057558671
read      253.5   122.8   101.3   153.9   166.3   234.6   269.3   289.8   305.4   324.1   351.3   398.8   543.0  1568.9  4617.9  29983.4    30030  1777057560183  1777057570284
read      254.1   124.7   101.3   153.0   165.6   234.2   269.2   289.9   305.7   324.9   352.8   401.9   557.1  1881.9  3469.3  30075.6    30035  1777057571796  1777057581900
read      253.4   134.9   101.3   153.8   165.7   231.7   266.9   288.0   304.0   323.4   351.5   400.5   561.5  2022.2  4364.0  29943.5    30040  1777057583411  1777057593513
read      251.5   120.2   101.3   153.2   165.0   231.6   266.2   286.9   302.4   321.2   349.2   398.5   549.5  1590.0  3745.5  30053.6    30045  1777057595023  1777057605128
read      262.2   148.6    93.8   154.1   167.0   239.3   275.5   297.1   314.3   335.4   365.3   418.8   606.3  2196.1  5938.8  30098.7    30050  1777057606640  1777057616743
read      252.8   134.7    93.8   152.5   164.5   232.0   266.8   287.4   303.0   322.2   350.3   400.7   558.1  2029.4  4808.1  29982.1    30055  1777057618254  1777057628355
read      253.2   126.7    93.8   151.7   164.0   232.9   268.5   289.7   306.0   326.0   354.2   402.6   562.1  1744.0  4222.3  30074.5    30060  1777057629867  1777057639971
read      253.1   141.6    93.8   152.9   164.8   231.5   266.2   286.8   302.4   321.2   349.3   399.2   562.0  2088.3  4885.1  30063.3    30065  1777057641484  1777057651585
