#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      245.4    96.8    93.8   148.6   161.9   231.7   264.5   283.6   297.3   315.9   340.8   381.9   490.5   694.8  3220.2  29897.7    30000  1777056902742  1777056912883
read      249.3   102.5    93.8   155.7   168.3   234.8   267.6   286.6   300.3   317.6   341.9   382.3   481.7   950.2  3704.4  29939.6    30005  1777056914397  1777056924517
read      251.6   101.8    93.8   154.1   167.8   237.0   270.3   289.9   304.7   322.2   347.9   390.0   492.4   761.7  3219.7  29937.4    30010  1777056926028  1777056936136
read      260.7   100.5   101.3   155.8   170.9   246.3   281.3   301.8   317.1   337.6   364.9   408.3   519.2   736.9  3422.5  30055.1    30015  1777056937648  1777056947748
read      256.0   121.1    93.8   150.6   164.4   237.7   273.1   294.3   311.2   332.4   362.6   413.0   542.1  1063.7  4226.2  29982.0    30020  1777056949258  1777056959392
read      261.6   138.3    86.8   154.8   168.7   241.4   277.3   298.4   315.1   336.8   367.0   420.0   579.5  1832.6  4532.8  29992.0    30025  1777056960908  1777056971136
read      253.9   161.6    93.8   151.9   164.1   231.4   265.7   286.1   301.3   320.3   349.8   401.3   603.2  2169.8  6131.7  30129.5    30030  1777056972650  1777056982857
read      252.3   131.7    93.8   151.3   163.4   231.9   266.9   287.9   303.7   322.8   352.0   399.8   551.5  1931.7  4285.3  30129.1    30035  1777056984369  1777056994476
read      254.8   150.1    93.8   152.4   165.0   234.6   269.3   289.9   305.6   324.4   352.6   398.1   548.9  2026.4  5740.0  30019.9    30040  1777056995987  1777057006096
read      250.6   142.7    93.8   150.7   162.8   229.7   263.6   283.7   298.4   317.6   345.0   393.3   575.9  1917.9  6129.7  30083.5    30045  1777057007607  1777057017710
read      253.4   124.0    93.8   151.5   163.7   233.9   269.6   290.6   306.6   326.1   355.7   402.9   548.4  1754.9  4157.9  29879.4    30050  1777057019222  1777057029324
read      249.2   117.3   101.3   152.4   164.5   231.7   265.4   285.2   299.8   318.2   344.3   389.3   520.5  1584.1  4036.5  30047.3    30055  1777057030837  1777057040941
