#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      232.5    93.8    80.4   136.5   150.1   218.7   250.8   269.9   284.5   302.4   327.5   370.8   479.0   728.6  3278.8  30016.1    30000  1778432318266  1778432328412
read      238.7   101.5    86.8   139.4   152.9   223.6   257.8   278.1   293.5   312.7   338.7   382.6   486.4   863.6  3823.7  30110.2    30005  1778432329924  1778432340058
read      238.5   101.1    86.8   136.2   150.2   224.8   259.1   279.3   294.5   313.7   339.3   382.1   485.8   812.7  3239.8  29911.0    30010  1778432341571  1778432351672
read      231.5    94.5    80.4   138.5   150.9   218.1   250.7   269.8   284.1   301.3   325.0   365.7   455.5   689.8  3584.0  29990.6    30015  1778432353184  1778432363286
read      229.8    87.3    80.4   139.0   151.6   217.1   248.4   266.9   280.4   296.7   319.5   359.3   451.6   652.1  3171.8  30032.6    30020  1778432364798  1778432374899
read      234.4    92.2    86.8   139.7   152.1   220.4   253.8   273.5   288.8   306.9   331.1   370.9   462.5   746.8  3152.1  30022.6    30025  1778432376414  1778432386517
read      230.7   116.2    86.8   135.2   146.7   214.6   247.8   267.1   281.3   298.4   321.4   363.6   494.2  1563.8  3627.4  30084.9    30030  1778432388029  1778432398129
read      235.9   140.2    86.8   136.4   148.0   215.8   248.9   268.8   283.8   302.2   328.4   375.6   571.8  1901.1  5129.2  29998.0    30035  1778432399641  1778432409747
read      232.3   127.1    86.8   136.2   147.6   214.0   246.8   266.0   280.1   297.6   322.0   368.9   535.5  1887.8  4251.8  30040.5    30040  1778432411257  1778432421357
read      232.1   111.5    86.8   137.1   149.2   216.2   249.6   269.3   284.3   302.4   327.1   369.4   474.9  1072.2  4110.1  30055.7    30045  1778432422869  1778432432975
read      445.5   740.1    80.4   141.7   156.9   250.7   308.3   355.4   405.5   491.6   634.2  1253.9  4313.3  6312.4 10206.7  30060.9    30050  1778432434487  1778432444589
read      571.2   855.1    86.8   151.3   170.0   293.5   382.5   455.3   526.7   664.0  1075.1  2826.9  4240.1  6369.3  8138.7  30026.5    30055  1778432446100  1778432456200
read      659.4  3616.5    86.8   153.7   175.2   313.8   414.2   489.3   552.2   672.0  1191.1  3271.9  4468.5  6422.4 11304.4  29739.1    30060  1778432457713  1778432467816
read      490.8   731.7    86.8   138.6   153.4   255.2   334.4   402.2   481.0   635.5   950.5  2116.1  3885.6  6314.0  7791.2  30003.6    30065  1778432469328  1778432479431
read      448.3   666.9    80.4   133.3   146.9   234.2   299.0   358.4   434.5   608.1   903.3  1865.9  3408.9  6288.9  7697.9  30028.8    30070  1778432480945  1778432491047
read      465.0   685.2    80.4   135.0   149.3   245.2   315.4   379.3   453.4   613.3   928.7  1976.2  3484.8  6294.9  7750.8  30017.8    30075  1778432492560  1778432502663
read      526.7   789.2    86.8   143.7   160.5   273.8   364.2   437.7   513.1   656.6   994.7  2263.5  4123.2  6379.3  8831.1  30072.0    30080  1778432504174  1778432514284
read      353.3   542.3    80.4   136.2   150.0   229.0   272.0   300.8   325.6   363.2   436.3   937.4  3110.0  6226.3  8211.6  30108.9    30085  1778432515796  1778432525897
read      241.8   154.4    86.8   136.1   148.8   221.9   257.8   278.8   294.5   314.7   342.5   392.5   527.1  2648.9  5535.0  30137.8    30090  1778432527409  1778432537511
read      231.0   180.5    86.8   130.0   140.9   206.9   239.7   259.6   273.9   292.5   317.7   367.2   579.8  3064.0  6090.8  30115.3    30095  1778432539023  1778432549123
read      239.9   101.3    86.8   138.4   152.0   224.0   257.7   277.8   293.9   314.0   341.6   389.1   511.8   912.5  3351.0  30161.2    30100  1778432550636  1778432560740
read      242.9   115.2    80.4   137.0   151.1   226.3   261.4   282.5   298.5   319.0   347.5   396.7   519.7  1031.9  4187.0  30165.4    30105  1778432562253  1778432572358
read      236.5    99.3    80.4   137.6   150.9   222.4   255.5   275.1   290.8   309.8   336.0   378.6   484.5   783.6  3518.1  30117.0    30110  1778432573871  1778432583973
read      234.8   107.2    86.8   140.0   152.9   220.2   253.1   272.7   288.0   306.5   331.9   372.6   468.9   725.7  3419.9  30096.0    30115  1778432585485  1778432595588
read      238.5   111.1    86.8   141.4   155.1   224.2   256.6   275.2   290.3   308.4   332.9   374.0   482.6   890.5  3916.5  30170.6    30120  1778432597101  1778432607201
read      234.0    89.7    80.4   140.7   153.2   220.2   252.9   272.2   287.0   304.6   328.7   368.5   459.8   753.8  3130.4  30102.2    30125  1778432608713  1778432618815
read      233.0    95.2    80.4   139.9   153.0   220.1   251.2   269.8   284.0   301.0   324.5   365.5   462.8   719.0  3210.0  30201.6    30130  1778432620326  1778432630428
read      235.6   109.7    80.4   138.2   151.5   220.5   253.1   272.5   287.7   306.3   332.3   374.8   484.0   926.6  3981.1  30101.5    30135  1778432631940  1778432642041
read      241.9    97.3    80.4   140.4   154.7   226.5   260.5   280.8   296.2   316.2   342.9   389.4   504.5   955.4  3271.1  30096.4    30140  1778432643552  1778432653654
read      233.8    91.6    86.8   136.3   150.2   219.7   252.2   271.8   286.9   305.3   331.0   373.5   481.7   784.3  2918.6  30010.5    30145  1778432655165  1778432665266
read      234.1   112.6    86.8   135.9   149.5   218.9   251.2   270.6   285.7   304.3   330.3   373.7   489.8  1137.2  4166.9  30197.5    30150  1778432666777  1778432676885
read      232.7    96.2    80.4   136.5   149.8   218.7   252.2   271.9   287.1   305.4   330.0   370.2   462.9   668.3  3206.7  30126.8    30155  1778432678396  1778432688501
read      242.2    97.0    80.4   143.0   156.8   227.7   261.9   281.6   296.2   315.1   340.8   384.7   490.4   796.0  3191.5  30187.9    30160  1778432690012  1778432700114
read      230.9    95.9    86.8   137.8   151.1   218.6   249.4   267.5   281.0   297.1   319.6   360.4   458.4   661.1  3595.9  30117.4    30165  1778432701625  1778432711726
read      241.5   104.0    86.8   143.7   157.5   227.1   261.1   281.0   295.8   314.7   339.6   380.2   470.9   731.9  4169.2  30202.5    30170  1778432713239  1778432723343
read      241.9   110.2    86.8   139.5   153.7   225.6   259.3   278.8   294.1   313.7   340.4   387.7   521.3  1327.4  3930.1  30161.1    30175  1778432724856  1778432734966
read      240.3   101.6    80.4   142.6   156.2   224.5   258.2   277.6   292.9   312.4   338.8   383.6   501.2   848.3  3751.1  30271.2    30180  1778432736480  1778432746580
read      237.3   106.2    80.4   142.6   155.7   222.4   254.3   273.4   288.3   306.2   330.7   371.4   477.5  1035.2  4056.5  30200.1    30185  1778432748092  1778432758198
read      242.0    96.2    86.8   141.9   156.1   226.8   260.8   280.8   295.5   314.8   340.9   386.7   508.7   897.4  3037.8  30118.5    30190  1778432759710  1778432769813
read      242.1   104.5    80.4   144.1   157.7   226.3   260.0   280.0   295.3   315.1   341.7   386.2   497.8   883.2  4014.6  30134.5    30195  1778432771325  1778432781429
read      246.3   104.7    86.8   146.0   159.8   230.7   266.3   287.3   302.9   321.4   347.1   390.6   489.1   878.6  3813.9  30253.2    30200  1778432782941  1778432793048
read      243.6    99.4    86.8   142.0   155.6   227.4   262.8   283.8   299.6   319.3   346.4   393.9   511.8   803.6  3264.8  30243.7    30205  1778432794561  1778432804663
read      238.6   104.8    80.4   140.3   153.9   224.0   257.0   276.4   291.8   310.5   336.0   377.7   486.1   974.9  3733.0  30191.6    30210  1778432806175  1778432816283
read      241.3   103.7    80.4   143.2   156.9   226.9   260.1   279.5   294.6   313.7   339.4   382.7   490.1   755.5  3560.9  30246.5    30215  1778432817796  1778432827901
read      242.9   102.7    86.8   141.0   155.3   227.0   261.1   281.4   296.5   316.4   343.1   390.5   516.4   959.5  3186.6  30095.7    30220  1778432829414  1778432839518
read      244.1   130.1    86.8   141.4   156.1   227.8   261.7   281.7   296.5   315.8   341.8   387.3   508.7  1028.8  5826.4  30283.9    30225  1778432841030  1778432851139
read      243.4   112.6    80.4   139.8   154.3   226.9   261.7   282.3   297.5   317.8   345.3   393.4   507.8  1157.0  4182.1  30251.2    30230  1778432852652  1778432862761
read      245.9   111.0    80.4   141.8   156.5   230.3   265.0   285.5   300.9   320.0   346.9   393.8   510.1   914.7  3653.4  30252.4    30235  1778432864274  1778432874377
