#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      228.6    94.6    80.4   134.2   147.4   215.4   248.3   267.7   282.1   299.2   322.7   363.0   448.2   657.3  3404.2  30013.2    30000  1778428237468  1778428247664
read      235.7   104.2    86.8   140.1   153.0   220.7   253.9   274.1   289.7   308.5   333.8   374.2   468.8   734.5  3388.4  29978.2    30005  1778428249178  1778428259304
read      219.4    85.2    86.8   133.8   144.6   205.6   236.8   255.6   269.4   286.1   308.2   343.5   435.8   740.7  3135.6  30050.4    30010  1778428260816  1778428270920
read      224.0    93.5    86.8   134.9   146.4   210.8   242.1   260.9   274.1   291.2   313.4   349.3   454.7   743.2  3165.7  29996.4    30015  1778428272431  1778428282532
read      220.2   102.0    86.8   134.6   145.5   206.8   237.6   256.1   269.8   286.2   307.7   341.9   428.7   704.4  4013.2  29935.0    30020  1778428284044  1778428294148
read      215.0    95.4    86.8   133.0   143.4   201.6   231.9   249.7   263.1   278.5   298.6   332.3   412.1   699.1  3903.3  30021.3    30025  1778428295660  1778428305761
read      222.5    94.6    86.8   135.9   146.7   208.8   240.4   259.3   272.8   289.9   312.2   346.7   438.0   694.2  3349.2  29927.6    30030  1778428307274  1778428317377
read      218.4    87.6    86.8   134.4   145.0   204.2   234.4   253.2   267.3   284.0   306.0   342.2   437.3   743.9  3081.3  30083.9    30035  1778428318890  1778428328994
read      221.5    89.1    86.8   134.9   146.0   207.9   238.9   257.7   271.6   288.5   310.5   344.5   431.3   737.1  3152.6  29984.6    30040  1778428330505  1778428340609
read      217.8    88.8    80.4   133.8   144.4   204.5   234.9   253.6   267.5   284.0   305.5   340.1   425.9   633.6  2883.6  29968.8    30045  1778428342121  1778428352226
read      220.4    94.7    86.8   132.9   143.7   206.8   238.5   257.4   271.3   288.2   310.1   345.0   439.7   687.9  4070.8  30023.8    30050  1778428353738  1778428363842
read      213.0    80.3    86.8   131.8   141.9   199.3   230.2   248.3   261.9   277.7   298.6   333.2   414.3   634.9  2615.6  30060.5    30055  1778428365355  1778428375458
read      218.6    95.5    80.4   133.0   143.5   204.7   235.8   254.7   269.1   286.1   308.4   344.0   431.5   739.3  2992.2  30023.4    30060  1778428376971  1778428387076
read      218.8    97.7    80.4   134.0   144.2   204.5   235.8   254.5   268.7   285.5   307.6   342.7   431.6   729.8  4065.6  30138.5    30065  1778428388589  1778428398693
read      223.9    91.6    80.4   135.8   146.9   209.7   241.7   260.7   274.2   291.5   314.1   351.4   455.9   824.1  3230.8  30033.5    30070  1778428400206  1778428410316
read      235.6   102.7    80.4   135.9   149.6   220.2   254.4   274.7   290.7   310.4   337.2   381.1   490.5   806.2  3815.4  30096.9    30075  1778428411829  1778428421932
read      237.5   107.4    80.4   140.5   153.9   222.6   255.5   274.9   290.3   308.9   334.7   377.8   485.2   826.2  4221.8  30083.5    30080  1778428423446  1778428433549
read      231.8    91.5    80.4   139.2   151.6   218.1   250.7   270.2   285.0   302.5   325.9   366.3   456.5   705.6  3103.7  30146.3    30085  1778428435061  1778428445165
read      233.2    92.3    80.4   136.2   149.6   218.2   251.7   271.7   287.3   306.4   332.9   375.9   480.1   776.1  2841.8  30085.9    30090  1778428446677  1778428456783
read      235.9    93.5    80.4   139.7   153.1   222.9   254.9   273.7   288.4   306.2   330.7   371.5   473.0   732.7  3199.5  30090.4    30095  1778428458295  1778428468396
read      232.4    87.3    86.8   139.6   152.3   219.2   251.8   270.9   285.4   302.6   325.8   365.7   457.8   717.5  2613.2  30075.8    30100  1778428469908  1778428480010
read      232.4    96.4    80.4   133.6   147.4   217.6   251.7   272.0   287.7   306.8   332.8   374.3   477.7   744.2  3161.1  30156.4    30105  1778428481521  1778428491623
read      229.0    95.7    86.8   135.4   147.6   214.1   247.6   267.4   282.0   299.5   323.3   366.0   463.1   963.4  3089.3  30159.8    30110  1778428493134  1778428503239
read      210.9   112.2    80.4   128.8   139.1   197.8   227.7   244.8   257.4   272.5   292.6   324.2   413.3   815.9  4991.8  30083.5    30115  1778428504752  1778428514857
read      224.9    93.6    80.4   133.8   146.2   212.5   243.6   262.0   274.8   291.8   313.8   350.4   443.3   713.8  3204.1  30107.2    30120  1778428516369  1778428526474
read      224.3    92.3    80.4   132.6   145.1   211.4   242.5   261.3   274.5   292.1   315.1   353.6   440.3   800.9  3202.2  30126.0    30125  1778428527986  1778428538092
read      223.1    85.8    86.8   134.6   146.2   209.8   241.4   260.7   274.3   291.9   314.6   352.1   436.2   634.7  2890.1  30167.7    30130  1778428539603  1778428549707
read      225.9    92.2    80.4   132.0   144.5   212.1   245.0   264.7   279.0   296.5   320.4   361.5   454.5   743.2  3226.2  30175.6    30135  1778428551220  1778428561327
read      230.3    89.4    86.8   137.9   150.8   217.5   249.6   268.5   282.7   299.7   322.9   362.1   447.8   682.7  2984.5  30074.3    30140  1778428562839  1778428572942
read      234.3    92.1    80.4   139.9   153.0   221.0   253.9   273.0   287.7   305.3   329.1   368.4   457.9   697.2  3173.7  30199.2    30145  1778428574453  1778428584554
read      237.8    98.7    80.4   141.3   154.4   223.8   257.5   277.1   292.0   310.2   334.7   373.9   471.3   790.7  3149.6  30139.9    30150  1778428586065  1778428596166
read      235.1    90.6    80.4   138.2   151.7   221.6   254.1   273.6   288.9   307.3   332.5   373.3   472.4   699.2  3019.4  30108.9    30155  1778428597678  1778428607779
read      229.7    92.0    80.4   136.3   149.2   216.3   248.6   268.1   282.7   300.0   324.3   365.4   453.7   682.3  3453.2  30162.8    30160  1778428609291  1778428619394
read      232.0    92.1    80.4   138.8   151.2   218.1   251.2   270.8   285.7   303.3   327.3   368.2   461.8   672.1  2512.0  30114.4    30165  1778428620906  1778428631010
read      238.0   103.3    86.8   141.7   154.7   223.2   256.7   276.3   291.7   310.3   335.2   376.6   473.8   903.2  3230.1  30085.6    30170  1778428632522  1778428642624
read      232.9    93.2    80.4   135.2   149.3   220.6   252.9   271.9   286.6   304.3   328.2   368.9   465.2   683.9  3174.6  30163.8    30175  1778428644135  1778428654238
read      233.4    96.1    74.4   137.7   150.5   219.5   252.4   271.8   286.7   304.6   329.9   371.8   477.6   694.9  3327.3  30160.5    30180  1778428655751  1778428665856
