#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      274.2   142.7   101.3   159.7   174.7   253.2   292.2   315.4   333.6   355.8   385.6   433.4   575.3  2089.8  4363.4  29979.2    30000  1778257802593  1778257812747
read      260.9   159.0   101.3   151.9   164.7   237.3   274.5   296.3   313.4   334.6   363.7   415.3   611.5  2314.4  5289.6  30043.8    30005  1778257814262  1778257824392
read      254.8   130.5   101.3   151.7   163.9   234.6   271.1   292.4   308.6   328.3   355.7   400.5   552.4  2100.5  4069.3  30075.1    30010  1778257825907  1778257836008
read      254.6   132.6   101.3   153.1   165.5   235.0   270.5   291.2   306.9   325.7   352.2   397.4   542.3  1964.6  4397.6  29998.4    30015  1778257837523  1778257847626
read      250.7   116.1   101.3   151.1   163.1   230.6   266.3   287.6   303.8   323.7   351.6   400.2   555.2  1465.4  3979.1  29987.1    30020  1778257849141  1778257859243
read      251.3   140.4    93.8   151.3   163.0   231.0   266.2   286.7   302.0   320.3   346.7   394.2   539.6  2150.6  4385.9  30021.3    30025  1778257860757  1778257870860
read      257.1   138.6   101.3   152.2   165.0   236.2   272.3   293.4   309.5   329.0   356.3   402.6   582.7  2115.3  4632.8  29992.0    30030  1778257872374  1778257882483
read      256.3   140.2    93.8   153.0   165.3   234.6   270.7   291.8   308.1   327.7   355.2   401.9   579.4  2094.8  4315.8  30001.2    30035  1778257883996  1778257894097
read      252.2   138.7    93.8   151.6   163.7   231.0   266.5   287.5   303.4   322.7   350.7   399.4   553.2  2021.5  4356.1  30139.7    30040  1778257895614  1778257905725
read      263.0   163.9   101.3   154.9   168.0   240.2   276.8   298.4   315.4   336.2   364.6   415.4   606.4  2301.0  6350.7  29993.2    30045  1778257907240  1778257917342
read      255.9   124.3    93.8   151.8   164.4   235.4   272.6   294.4   311.3   331.9   360.5   408.0   565.6  1576.0  4127.6  29968.8    30050  1778257918856  1778257928962
read      254.0   141.1   101.3   152.5   164.7   233.4   269.0   289.8   305.6   324.4   351.0   397.0   548.7  2095.7  5257.6  30048.2    30055  1778257930477  1778257940579
read      265.2   132.3    93.8   154.1   167.7   243.8   282.2   305.1   322.0   344.3   374.7   429.3   596.9  1844.0  4169.3  29999.9    30060  1778257942093  1778257952196
read      277.7   116.2    93.8   163.0   178.1   258.9   298.0   321.7   341.0   364.3   395.3   447.6   590.2  1018.8  3855.9  30005.8    30065  1778257953710  1778257963816
read      271.4   104.8   101.3   165.4   180.8   256.4   291.7   312.5   328.0   346.6   372.7   416.2   541.0  1076.9  3690.9  29983.0    30070  1778257965331  1778257975434
read      268.6   120.5    93.8   161.6   176.4   252.7   288.3   309.3   324.7   344.3   370.7   414.8   544.2  1183.2  4607.4  30043.7    30075  1778257976949  1778257987053
read      267.9   110.8   101.3   161.7   176.1   251.5   288.3   309.8   325.7   345.4   373.0   419.8   540.4  1061.1  3905.8  30091.1    30080  1778257988567  1778257998672
read      266.5   116.0    93.8   153.9   169.4   249.4   288.6   311.9   329.6   351.3   381.0   427.6   538.3   980.4  4293.1  30081.8    30085  1778258000189  1778258010294
read      265.7   108.3    93.8   157.3   171.9   249.6   287.8   310.6   327.6   348.3   376.4   421.5   521.4   870.2  4069.0  30078.4    30090  1778258011809  1778258021912
read      247.4   103.2    93.8   153.0   165.4   231.6   265.6   285.4   299.6   317.7   342.1   382.8   491.8  1050.1  3913.4  30146.8    30095  1778258023426  1778258033527
read      252.0   106.9    93.8   156.3   169.0   236.6   270.7   290.7   305.5   322.5   346.6   387.4   492.8   959.8  3667.3  30102.7    30100  1778258035043  1778258045152
read      248.4   116.6    93.8   152.5   164.5   231.0   265.4   285.5   300.1   318.3   343.3   385.8   506.4  1538.2  4368.0  30170.7    30105  1778258046667  1778258056767
read      253.9   125.6   101.3   152.6   165.4   237.1   272.3   292.6   308.0   326.1   350.8   393.8   517.2  1660.2  4446.5  30161.3    30110  1778258058282  1778258068386
read      248.3   111.4   101.3   151.5   163.8   232.3   267.5   287.6   302.3   320.0   344.4   386.1   494.4  1147.0  4157.8  30147.7    30115  1778258069901  1778258080003
