#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      256.8   134.2   101.3   153.5   166.1   235.2   271.7   293.1   309.5   329.3   357.3   404.4   566.6  2063.6  4338.9  29972.5    30000  1778242341203  1778242351358
read      271.3   154.6    93.8   157.1   170.8   247.3   286.7   310.1   327.7   349.5   381.6   437.4   629.8  2235.1  5057.8  29874.8    30005  1778242352874  1778242363040
read      268.8   172.0    93.8   152.8   165.8   240.0   279.9   303.9   321.7   345.6   381.6   449.5   691.6  2340.5  6121.8  29981.3    30010  1778242364560  1778242374670
read      268.6   160.9    93.8   156.6   169.7   244.2   283.2   306.6   323.9   345.7   377.1   430.4   612.4  2455.6  5368.7  30070.7    30015  1778242376188  1778242386292
read      263.3   166.7   101.3   152.1   164.6   235.6   273.9   296.7   315.0   338.0   370.6   432.0   648.7  2523.0  5649.6  30005.2    30020  1778242387809  1778242397910
read      259.3   156.0    93.8   152.1   164.2   233.1   270.5   292.8   310.2   331.8   363.1   423.0   636.7  2379.2  4847.3  30124.9    30025  1778242399427  1778242409529
read      262.9   137.1   101.3   154.8   167.9   240.9   278.7   300.9   317.8   339.5   369.4   423.7   591.2  1871.0  4728.1  30059.8    30030  1778242411047  1778242421147
read      274.0   414.3    86.8   153.6   167.0   243.1   282.7   306.6   324.4   347.2   381.9   446.4   693.3  2155.4 29548.0  30016.7    30035  1778242422662  1778242432765
read      268.5   163.5   101.3   155.1   168.1   241.8   280.4   303.9   321.2   344.5   377.5   436.8   661.1  2493.4  4873.1  30085.2    30040  1778242434279  1778242444382
read      261.0   165.9    93.8   153.2   166.0   236.7   274.1   296.7   314.2   335.9   366.0   418.5   579.6  2467.5  6284.9  30101.8    30045  1778242445897  1778242456007
read      255.6   156.8   101.3   152.5   164.5   231.4   267.5   289.3   305.9   325.9   354.8   404.6   581.8  2512.7  4819.6  30072.8    30050  1778242457522  1778242467623
read      258.1   127.1   101.3   153.8   166.7   236.9   274.0   296.5   314.1   335.7   365.7   417.3   552.6  1492.9  4163.7  30041.5    30055  1778242469137  1778242479239
read      258.1   115.3    93.8   152.5   165.8   238.1   276.3   299.9   317.5   340.4   371.4   423.6   537.7   881.7  3884.9  29951.4    30060  1778242480753  1778242490854
read      255.9   113.3    93.8   152.4   165.5   236.5   274.2   297.0   314.5   335.9   365.2   414.1   533.9  1077.3  3984.4  30024.2    30065  1778242492369  1778242502469
read      431.6   399.5    93.8   161.4   178.4   296.7   387.1   471.2   571.3   715.5   878.8  1140.7  1842.7  4962.5  6432.2  30093.3    30070  1778242503984  1778242514084
read      259.5   115.2    86.8   151.7   165.4   239.8   278.3   301.8   319.5   342.4   373.3   424.5   543.8  1047.8  4066.7  30129.3    30075  1778242515599  1778242525700
read      251.4   108.3    93.8   146.9   160.1   231.4   270.4   294.1   312.5   335.1   365.7   416.3   527.5   836.0  4094.4  30088.8    30080  1778242527215  1778242537318
read      253.8   108.4   101.3   152.4   165.2   235.8   272.8   294.7   311.5   331.8   359.6   403.8   519.3   857.1  4131.8  30045.0    30085  1778242538834  1778242548940
read      246.0   110.5   101.3   151.8   163.6   228.4   262.6   283.4   298.9   317.9   343.2   386.1   500.6  1123.0  4151.5  30038.9    30090  1778242550454  1778242560555
read      252.6   107.6    93.8   153.8   166.3   234.3   270.1   291.5   307.8   327.7   355.5   400.3   523.1  1031.1  3676.8  30006.0    30095  1778242562071  1778242572174
read      247.8   105.7    86.8   151.8   164.3   230.4   265.1   285.8   301.0   319.5   345.7   390.8   505.2   993.1  3888.5  30139.9    30100  1778242573689  1778242583791
read      251.0   105.7   101.3   155.8   168.5   234.3   268.6   288.8   303.8   321.1   345.7   389.1   501.9   964.3  3623.1  30157.1    30105  1778242585306  1778242595414
read      248.5    95.8    93.8   154.6   167.3   233.2   267.1   287.2   302.0   319.6   344.3   385.8   483.6   743.8  3370.8  30174.4    30110  1778242596930  1778242607032
read      252.9   123.1    93.8   152.9   165.9   235.0   270.6   291.8   308.0   327.3   353.4   397.3   515.7   953.9  5471.1  30164.3    30115  1778242608546  1778242618647
read      275.4   124.7   101.3   166.0   180.2   256.0   295.5   318.6   336.9   359.3   389.4   436.2   550.1  1244.8  4317.2  30215.0    30120  1778242620162  1778242630265
read      267.5   103.2    93.8   159.5   174.2   249.5   288.3   311.7   329.6   351.7   382.6   431.0   538.4   798.4  3171.7  30063.8    30125  1778242631778  1778242641878
read      268.1   107.8    93.8   163.1   177.3   251.4   288.7   310.8   327.3   347.5   375.9   422.9   522.5   907.4  4067.2  30131.6    30130  1778242643393  1778242653494
