Memcached with T =1 thread, C=1 core
run 1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      217.1    72.2    93.8   146.0   156.2   204.8   226.6   239.1   250.4   265.3   287.6   328.1   420.5  1060.9  1388.6   4892.5     5000  1778109523475  1778109525737
read      275.3    82.0    86.8   152.9   172.9   271.0   309.7   329.2   342.6   359.2   378.9   408.5   475.0   584.0  1556.7  15029.5    15000  1778109527241  1778109529479
read      304.7   115.4    86.8   147.7   166.6   307.0   354.1   376.4   392.7   410.6   433.0   467.6   542.3   686.1  3713.3  25073.0    25000  1778109530983  1778109533181
read      309.1   116.8    80.4   142.0   160.7   306.2   365.2   393.4   412.6   434.0   462.0   502.8   586.4   713.4  1499.8  34775.0    35000  1778109534685  1778109536887
read      318.6   145.2    80.4   142.6   161.4   310.7   377.3   409.7   430.9   455.3   485.3   531.3   620.3   855.3  4079.6  44878.0    45000  1778109538391  1778109540592
read      323.3   136.4    80.4   141.3   161.9   308.4   380.0   417.2   442.2   470.5   506.5   557.0   656.3   796.9  1615.1  55145.5    55000  1778109542095  1778109544294
read      359.0   148.1    80.4   152.9   178.5   344.8   414.6   454.1   482.5   515.3   555.6   615.4   750.1   970.1  2077.2  65038.0    65000  1778109545797  1778109547998
read      898.4   384.0   127.6   633.9   673.2   800.4   851.7   882.4   924.5  1168.6  1440.3  1571.2  1733.5  7123.0  9080.6  72295.5    75000  1778109549502  1778109551701
read      963.4   399.9   118.1   714.8   751.8   853.2   898.4   926.1   943.5  1087.4  1573.0  1690.2  1842.3  7230.3  8111.1  68614.0    85000  1778109553205  1778109555407
read      915.9   405.4   101.3   646.6   682.4   807.3   860.1   900.8   938.0  1293.7  1477.6  1595.7  1745.4  7189.6  9020.5  71907.4    95000  1778109556910  1778109559109
read      873.2   379.2   137.8   637.0   661.6   766.3   805.4   843.4   870.0  1281.6  1423.5  1526.5  1673.3  7050.1  9204.9  75519.4   105000  1778109560612  1778109562811
read      853.8   367.1   148.8   605.3   637.3   745.1   796.3   837.6   875.3  1260.1  1379.8  1480.3  1622.6  7096.5  8017.7  77156.2   115000  1778109564314  1778109566516
read      968.5   412.3   160.7   703.6   742.1   858.4   909.8   937.5   980.4  1187.1  1563.9  1689.2  1854.6  7258.0  9180.3  68361.0   125000  1778109568019  1778109570219
run 2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      239.5    90.8   109.4   163.5   175.9   228.9   251.0   265.0   274.7   289.1   308.6   339.9   412.6  1087.2  3776.3   4895.0     5000  1778109878663  1778109880917
read      268.1    83.3    93.8   152.8   172.8   260.6   296.7   316.8   331.2   346.6   368.4   400.9   468.3   593.0  2201.9  14940.0    15000  1778109882420  1778109884658
read      289.2    99.6    80.4   149.6   167.0   282.7   333.5   357.9   373.7   392.9   416.0   450.3   521.3   599.8  1099.7  25045.0    25000  1778109886163  1778109888364
