1 core
run 1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      293.0   126.7   118.1   181.2   204.0   285.0   311.1   325.9   338.4   353.1   372.6   410.0   493.6  1828.4  5126.8   5029.0     5000  1778195079197  1778195081458
read      323.1   138.6   109.4   181.5   205.5   313.7   351.9   372.7   390.3   410.5   436.1   474.7   572.8  1744.0  4937.4  15043.5    15000  1778195082963  1778195085202
read      333.2   140.4   101.3   168.9   188.7   325.5   378.9   409.3   428.6   450.9   477.7   520.7   599.0   747.2  6455.2  25062.0    25000  1778195086707  1778195088909
read      327.4   126.4   101.3   160.8   178.4   311.3   377.6   415.0   437.5   463.9   496.7   543.0   634.2   805.0  2316.9  35018.5    35000  1778195090414  1778195092618
read      338.3   147.7    93.8   150.0   167.4   316.9   398.1   439.2   466.6   499.4   538.1   589.7   690.4  1004.4  1862.4  45058.0    45000  1778195094122  1778195096335
read      355.7   166.6    93.8   151.5   169.2   326.1   422.4   470.6   503.3   538.5   578.5   634.6   779.3  1075.9  2817.8  54725.5    55000  1778195097839  1778195100042
read      383.4   219.3    93.8   151.9   170.7   329.6   447.0   504.6   544.0   587.6   641.6   741.2  1088.2  1738.8  4572.7  65029.4    65000  1778195101547  1778195103754
read      995.7  1862.8    93.8   190.6   217.3   322.5   372.4   407.0   442.0   528.9  4070.6  6211.7  7691.6  9459.3 12287.4  67696.0    75000  1778195105258  1778195107460
read      986.5  1894.9    93.8   185.7   214.3   319.2   360.4   388.8   415.9   471.2  3995.8  6245.4  7951.2  9867.1 12844.0  69503.5    85000  1778195108965  1778195111168
read      965.0  1868.6    93.8   185.7   212.6   310.9   353.5   383.5   410.8   465.8  3494.3  6250.0  7729.3  9418.0 10974.3  70769.7    95000  1778195112672  1778195114874
read      903.6  1791.5    93.8   189.2   211.8   286.5   322.0   350.9   380.0   436.6  3202.9  6115.8  7805.5  9667.4 12680.8  75611.0   105000  1778195116379  1778195118583
read      951.7  1859.6    86.8   187.5   210.0   302.8   350.3   383.6   413.8   472.7  3406.1  6203.4  8075.4  9821.4 12707.5  71975.9   115000  1778195120088  1778195122288
read     1005.3  1913.0   101.3   188.3   216.1   323.5   371.3   403.6   435.7   503.1  4265.3  6285.1  7794.9  9772.7 12601.0  67970.5   125000  1778195123793  1778195125998
run 2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      303.3   190.5   109.4   186.1   208.5   291.4   318.9   337.0   350.2   368.9   393.7   430.5   517.0  1117.4  7547.9   4903.5     5000  1778195447022  1778195449281
read      322.6    96.2   118.1   187.2   209.7   315.8   355.2   375.9   393.8   414.0   438.5   476.7   570.7   924.8  2031.8  15166.4    15000  1778195450787  1778195453025
read      328.6   117.8   101.3   170.9   191.5   318.4   371.6   402.6   423.4   446.1   471.8   517.1   612.8   798.5  3360.9  25023.5    25000  1778195454529  1778195456729
read      337.7   143.3   101.3   155.2   174.0   324.0   394.3   431.2   455.1   481.6   515.4   566.3   662.8   856.7  3491.1  34989.0    35000  1778195458234  1778195460433
read      338.9   148.9    86.8   152.7   170.6   318.3   395.9   438.1   465.3   497.4   535.8   587.2   688.7   869.8  2769.9  45059.0    45000  1778195461938  1778195464138
read      360.9   172.4    93.8   152.8   171.4   330.5   424.7   472.1   506.2   543.2   585.4   646.4   801.1  1199.9  3325.0  54616.9    55000  1778195465643  1778195467847
read      428.7   292.7    93.8   159.0   179.0   351.2   487.0   553.5   599.0   653.4   731.8   893.9  1488.7  2327.5  7421.4  65144.1    65000  1778195469351  1778195471552
read      946.2  1798.3   101.3   184.9   213.1   310.5   349.6   378.6   408.1   490.8  3430.9  6125.7  7637.8  9422.6 11607.9  70591.4    75000  1778195473057  1778195475256
read     1006.7  1893.9   101.3   191.9   220.9   325.2   371.2   403.6   436.3   509.7  4155.5  6265.3  7706.6  9528.5 11879.2  67705.4    85000  1778195476761  1778195478962
read      963.8  1868.9    93.8   186.6   214.5   312.1   352.0   380.8   407.3   462.7  3534.2  6225.4  7804.0 10095.8 11871.9  70657.2    95000  1778195480467  1778195482667
read     1018.2  1927.3    93.8   190.2   218.9   330.6   375.9   407.2   437.0   507.7  4201.8  6298.3  7987.0 10479.7 12669.9  67268.0   105000  1778195484172  1778195486388
read      987.6  1889.0    93.8   187.1   213.6   317.2   364.1   396.6   427.7   493.7  3891.2  6259.7  7847.4  9593.7 12259.1  69318.4   115000  1778195487893  1778195490093
read      940.9  1833.5    93.8   185.6   215.4   304.0   340.5   367.2   393.2   444.4  3421.7  6194.2  7660.4 10044.2 11455.0  72598.5   125000  1778195491598  1778195493797
run 3
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      286.8    90.3   109.4   180.2   202.2   280.7   305.7   320.0   333.1   346.8   367.9   403.0   477.9  1085.1  2036.8   5004.0     5000  1778195654863  1778195657131
read      316.3   102.3   109.4   181.8   205.5   312.6   349.1   368.6   383.1   400.0   423.3   457.9   540.0   690.5  3780.1  14832.5    15000  1778195658636  1778195660883
read      326.8   124.8   101.3   167.1   187.2   318.6   368.8   398.5   419.0   441.0   468.1   510.9   595.4  1186.5  3163.5  25034.0    25000  1778195662388  1778195664590
read      325.7   141.9   101.3   157.5   176.2   311.9   373.7   409.9   432.6   458.1   490.2   538.3   627.7   831.2  5981.7  35019.5    35000  1778195666094  1778195668295
read      330.4   156.1    93.8   150.9   167.6   307.0   383.2   425.7   452.5   482.0   518.9   572.2   690.0  1603.7  3335.6  44997.0    45000  1778195669799  1778195672005
read      352.3   162.8    93.8   150.7   168.6   322.8   416.3   463.3   495.9   532.0   573.6   631.1   756.9  1041.2  2667.6  55038.9    55000  1778195673510  1778195675711
read      388.5   226.3    93.8   155.8   174.5   335.0   451.7   511.7   550.9   592.8   645.8   743.4  1076.8  1988.8  6096.7  65227.6    65000  1778195677216  1778195679418
read      960.3  1811.7   101.3   188.6   214.6   310.6   357.9   392.3   426.8   509.4  3492.4  6127.5  7794.2  9261.6 10948.7  69736.5    75000  1778195680922  1778195683120
read      934.6  1783.0    93.8   188.4   210.7   299.1   346.8   385.2   423.0   512.1  3284.3  6076.2  7816.0  9991.2 11851.6  72736.9    85000  1778195684625  1778195686825
read     1014.6  1900.0    93.8   191.2   219.6   327.5   378.1   416.0   454.1   540.9  4195.8  6245.7  7924.0  9497.4 14657.9  67295.4    95000  1778195688330  1778195690533
