threads,cores,p95,qps,target,run
1,1,328.1,4892.5,5000,1
1,1,408.5,15029.5,15000,1
1,1,467.6,25073.0,25000,1
1,1,502.8,34775.0,35000,1
1,1,531.3,44878.0,45000,1
1,1,557.0,55145.5,55000,1
1,1,615.4,65038.0,65000,1
1,1,1571.2,72295.5,75000,1
1,1,1690.2,68614.0,85000,1
1,1,1595.7,71907.4,95000,1
1,1,1526.5,75519.4,105000,1
1,1,1480.3,77156.2,115000,1
1,1,1689.2,68361.0,125000,1
1,1,339.9,4895.0,5000,2
1,1,400.9,14940.0,15000,2
1,1,450.3,25045.0,25000,2
1,1,492.3,35085.0,35000,2
1,1,533.5,45020.5,45000,2
1,1,568.3,54774.5,55000,2
1,1,592.9,65284.1,65000,2
1,1,1610.7,70791.5,75000,2
1,1,1563.3,73224.5,85000,2
1,1,1467.0,77653.5,95000,2
1,1,1649.4,69868.5,105000,2
1,1,1597.7,71896.0,115000,2
1,1,1667.5,69312.4,125000,2
1,1,330.2,4929.5,5000,3
1,1,398.4,14941.0,15000,3
1,1,459.3,24855.5,25000,3
1,1,504.3,34919.8,35000,3
1,1,538.8,45089.5,45000,3
1,1,628.5,55085.5,55000,3
1,1,564.1,65073.7,65000,3
1,1,1483.8,74387.0,75000,3
1,1,1585.9,71975.1,85000,3
1,1,1632.0,70245.4,95000,3
1,1,1488.4,76975.5,105000,3
1,1,1487.3,76310.4,115000,3
1,1,1561.6,73878.8,125000,3
1,2,336.8,4950.0,5000,1
1,2,404.8,15045.0,15000,1
1,2,474.9,25231.5,25000,1
1,2,501.1,34967.5,35000,1
1,2,533.8,45513.0,45000,1
1,2,553.5,55008.0,55000,1
1,2,585.2,64851.5,65000,1
1,2,1646.7,69600.8,75000,1
1,2,1491.5,76364.5,85000,1
1,2,1555.7,73840.0,95000,1
1,2,1568.2,73358.0,105000,1
1,2,1447.2,79232.0,115000,1
1,2,1545.0,74658.0,125000,1
1,2,334.2,4920.0,5000,2
1,2,403.1,14973.0,15000,2
1,2,467.9,24917.0,25000,2
1,2,495.4,34994.0,35000,2
1,2,522.3,45041.6,45000,2
1,2,556.3,55058.2,55000,2
1,2,589.2,64892.0,65000,2
1,2,1465.6,74244.5,75000,2
1,2,1520.9,75680.5,85000,2
1,2,1558.6,73512.0,95000,2
1,2,1432.6,79999.5,105000,2
1,2,1494.1,76492.0,115000,2
1,2,1419.7,80739.0,125000,2
1,2,301.8,4889.5,5000,3
1,2,422.2,14786.5,15000,3
1,2,476.0,25196.2,25000,3
1,2,505.7,34861.5,35000,3
1,2,533.4,45036.5,45000,3
1,2,560.0,54581.1,55000,3
1,2,587.1,65021.5,65000,3
1,2,1049.1,74910.5,75000,3
1,2,1486.5,76733.5,85000,3
1,2,1496.5,76735.5,95000,3
1,2,1423.1,80311.8,105000,3
1,2,1571.3,73183.9,115000,3
1,2,1554.0,73964.5,125000,3
1,3,314.9,4892.5,5000,1
1,3,405.2,14823.5,15000,1
1,3,455.9,24817.0,25000,1
1,3,507.6,35159.0,35000,1
1,3,534.8,45144.5,45000,1
1,3,565.5,54822.3,55000,1
1,3,794.0,64858.5,65000,1
1,3,1052.9,74848.5,75000,1
1,3,1492.4,76491.0,85000,1
1,3,1502.7,76201.8,95000,1
1,3,1577.5,73161.5,105000,1
1,3,1541.8,74631.7,115000,1
1,3,1411.1,80245.6,125000,1
1,3,350.6,4964.0,5000,2
1,3,408.1,15128.0,15000,2
1,3,483.4,25064.0,25000,2
1,3,496.9,35128.0,35000,2
1,3,532.3,44883.0,45000,2
1,3,557.1,54874.0,55000,2
1,3,594.7,64823.0,65000,2
1,3,1038.2,74835.0,75000,2
1,3,1579.1,72978.0,85000,2
1,3,1482.8,76887.0,95000,2
1,3,1543.1,74693.0,105000,2
1,3,1688.6,68622.5,115000,2
1,3,1647.9,70273.7,125000,2
1,3,324.4,4948.0,5000,3
1,3,427.1,15006.0,15000,3
1,3,469.7,24957.0,25000,3
1,3,515.6,35014.5,35000,3
1,3,534.9,44775.9,45000,3
1,3,559.2,55175.5,55000,3
1,3,585.3,65059.5,65000,3
1,3,1135.6,74866.8,75000,3
1,3,1583.9,72576.0,85000,3
1,3,1649.6,70171.5,95000,3
1,3,1345.0,84386.4,105000,3
1,3,1662.5,69346.1,115000,3
1,3,1721.9,67023.0,125000,3
2,1,358.4,4960.0,5000,1
2,1,434.0,15124.0,15000,1
2,1,475.2,25155.5,25000,1
2,1,542.2,34871.9,35000,1
2,1,555.5,44943.5,45000,1
2,1,628.9,54923.0,55000,1
2,1,699.9,64931.5,65000,1
2,1,3484.9,73161.5,75000,1
2,1,3593.9,72850.5,85000,1
2,1,3610.0,71179.5,95000,1
2,1,3584.1,75172.5,105000,1
2,1,3582.4,75727.5,115000,1
2,1,3617.7,71243.9,125000,1
2,1,364.0,4910.0,5000,2
2,1,437.8,15078.5,15000,2
2,1,470.1,25238.5,25000,2
2,1,522.8,34757.1,35000,2
2,1,583.6,44965.5,45000,2
2,1,656.6,54943.4,55000,2
2,1,673.5,65139.0,65000,2
2,1,1282.0,74950.6,75000,2
2,1,3614.5,70282.5,85000,2
2,1,3581.2,76886.5,95000,2
2,1,3602.6,72502.5,105000,2
2,1,3592.4,74154.5,115000,2
2,1,3628.5,70198.0,125000,2
2,1,347.6,5021.0,5000,3
2,1,424.0,15066.5,15000,3
2,1,491.4,25114.6,25000,3
2,1,526.4,35054.5,35000,3
2,1,570.1,45056.3,45000,3
2,1,625.8,54867.0,55000,3
2,1,778.2,64908.8,65000,3
2,1,2847.0,74288.5,75000,3
2,1,3604.3,71669.8,85000,3
2,1,3632.8,69250.2,95000,3
2,1,3579.9,76571.4,105000,3
