cores,p95,qps,target,cpu_utilization,run
1,410.0,5029.0,5000,20.6,1
1,474.7,15043.5,15000,45.3,1
1,520.7,25062.0,25000,62.3,1
1,543.0,35018.5,35000,68.8,1
1,589.7,45058.0,45000,78.0,1
1,634.6,54725.5,55000,85.5,1
1,741.2,65029.4,65000,93.5,1
1,6211.7,67696.0,75000,100.0,1
1,6245.4,69503.5,85000,100.0,1
1,6250.0,70769.7,95000,100.0,1
1,6115.8,75611.0,105000,100.0,1
1,6203.4,71975.9,115000,100.0,1
1,6285.1,67970.5,125000,100.0,1
1,430.5,4903.5,5000,24.8,2
1,476.7,15166.4,15000,43.2,2
1,517.1,25023.5,25000,58.9,2
1,566.3,34989.0,35000,69.8,2
1,587.2,45059.0,45000,77.3,2
1,646.4,54616.9,55000,87.0,2
1,893.9,65144.1,65000,96.2,2
1,6125.7,70591.4,75000,100.0,2
1,6265.3,67705.4,85000,98.0,2
1,6225.4,70657.2,95000,100.0,2
1,6298.3,67268.0,105000,100.0,2
1,6259.7,69318.4,115000,97.0,2
1,6194.2,72598.5,125000,100.0,2
1,403.0,5004.0,5000,20.4,3
1,457.9,14832.5,15000,41.0,3
1,510.9,25034.0,25000,59.6,3
1,538.3,35019.5,35000,67.6,3
1,572.2,44997.0,45000,75.6,3
1,631.1,55038.9,55000,85.5,3
1,743.4,65227.6,65000,94.4,3
1,6127.5,69736.5,75000,100.0,3
1,6076.2,72736.9,85000,100.0,3
1,6245.7,67295.4,95000,100.0,3
1,6284.5,67264.2,105000,100.0,3
1,6243.1,68872.9,115000,100.0,3
1,6127.6,74877.0,125000,100.0,3
2,400.5,4935.0,5000,29.6,1
2,423.9,14856.0,15000,35.7,1
2,450.2,25012.5,25000,62.5,1
2,465.1,35051.5,35000,86.2,1
2,493.9,44976.0,45000,110.0,1
2,514.9,54898.0,55000,128.6,1
2,547.2,65020.5,65000,137.7,1
2,573.5,74862.3,75000,152.7,1
2,630.8,85168.0,85000,168.4,1
2,811.6,95185.4,95000,181.0,1
2,3012.3,104042.9,105000,199.0,1
2,2404.3,110388.4,115000,200.0,1
2,3089.8,110803.5,125000,200.0,1
2,409.0,4895.5,5000,28.5,2
2,432.9,14827.4,15000,43.3,2
2,455.9,25038.0,25000,71.3,2
2,473.4,34914.0,35000,94.3,2
2,504.0,44641.0,45000,113.7,2
2,528.8,54901.9,55000,130.0,2
2,546.6,64583.7,65000,140.1,2
2,605.9,75192.0,75000,158.8,2
2,676.0,84457.9,85000,171.4,2
2,940.8,94978.5,95000,184.7,2
2,1193.1,105017.4,105000,187.5,2
2,2790.4,111357.8,115000,198.0,2
2,3250.0,107168.9,125000,200.0,2
2,404.0,5008.5,5000,31.9,3
2,417.1,14951.0,15000,36.6,3
2,451.6,24685.5,25000,67.2,3
2,488.0,34874.5,35000,97.0,3
2,496.0,44900.5,45000,111.8,3
2,507.7,55132.2,55000,126.4,3
2,541.2,65060.3,65000,140.9,3
2,583.7,74818.0,75000,156.6,3
2,655.9,84724.0,85000,172.2,3
2,910.2,94947.5,95000,184.8,3
2,2401.9,104471.5,105000,198.0,3
2,3023.5,112426.8,115000,195.0,3
2,3148.5,109836.4,125000,200.0,3
3,398.2,5014.0,5000,35.8,1
3,412.5,15138.5,15000,42.2,1
3,434.4,24889.8,25000,69.8,1
3,453.2,35032.5,35000,104.4,1
3,463.3,44947.1,45000,132.4,1
3,454.9,54681.4,55000,145.1,1
3,461.5,64977.7,65000,176.6,1
3,463.8,75010.9,75000,192.7,1
3,460.7,85033.7,85000,212.7,1
3,465.2,95434.9,95000,234.0,1
3,485.1,104874.4,105000,253.2,1
3,503.6,114770.3,115000,273.2,1
3,735.3,123059.9,125000,282.1,1
3,405.3,4921.0,5000,39.0,2
3,429.8,15038.5,15000,51.6,2
3,450.1,25153.5,25000,73.1,2
3,473.8,35052.5,35000,102.0,2
3,468.2,44654.5,45000,125.3,2
3,478.0,55059.1,55000,152.3,2
3,476.8,65301.0,65000,173.5,2
3,466.9,75317.5,75000,194.9,2
3,490.4,84957.9,85000,215.0,2
3,476.5,94907.5,95000,233.3,2
3,501.2,104677.9,105000,253.3,2
3,566.0,114808.9,115000,265.0,2
3,614.3,125068.9,125000,284.8,2
3,389.1,4965.5,5000,35.7,3
3,413.9,15140.5,15000,43.6,3
3,446.3,25084.0,25000,73.9,3
3,435.3,34705.0,35000,88.3,3
3,449.5,44831.8,45000,121.4,3
3,453.7,54955.9,55000,148.2,3
3,451.6,64828.9,65000,154.0,3
3,469.4,74801.4,75000,195.4,3
3,461.3,84792.0,85000,217.1,3
3,475.3,94681.9,95000,233.3,3
3,471.9,104694.1,105000,248.5,3
3,491.2,114980.4,115000,262.7,3
3,510.0,124789.4,125000,278.2,3
