Timestamp start: 1778603666686
Timestamp end: 1778604746988

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      261.1   250.4   101.3   164.5   177.4   235.1   260.0   273.3   284.0   295.6   313.6   344.9   851.8  3879.3  7962.5   6917.0     6927
read      358.3   485.1    74.4   128.2   143.8   271.2   342.8   401.0   444.0   494.1   556.1   674.8  2155.7  7431.1 11024.0  52880.4    52892
read      257.4   189.2    74.4   122.1   135.7   227.0   275.2   302.0   321.1   346.4   390.1   470.7   754.0  2530.0  7395.3  98868.5    98921
read      274.9   224.1    74.4   123.3   136.9   242.4   297.3   328.8   353.9   389.6   434.8   500.2   727.1  2848.9  8662.5  61152.2    61129
read      379.8   487.5    74.4   132.7   151.0   300.1   389.2   441.6   476.1   512.4   557.6   647.4  2215.6  7764.9 11721.0  40579.5    40613
read      351.6   455.7    80.4   127.9   143.3   271.6   343.0   401.4   445.5   497.2   559.2   668.2  1768.2  6986.7 10774.6  53342.7    53226
read      348.9   357.1    80.4   133.4   151.0   290.4   365.5   417.7   451.8   488.7   531.6   601.3  1613.1  5042.0  8131.1  38655.2    38560
read      292.6   407.7    74.4   125.1   139.4   236.3   286.6   314.6   336.3   365.9   411.7   493.8  1442.1  6438.1  8888.2 103313.9   103465
read      258.1   203.1    74.4   122.7   136.5   227.4   275.3   302.1   321.1   345.9   386.4   457.9   711.6  2873.1  6644.5 104754.2   104758
read      249.9   178.0    74.4   121.1   134.3   223.4   271.2   296.9   315.8   338.9   372.3   439.0   657.1  2341.9  6862.9  94762.1    94759
read      359.2   387.7    80.4   135.7   153.7   297.0   376.5   427.7   460.1   495.0   536.6   610.0  1734.3  6136.1  8740.1  37849.7    37799
read      262.2   229.1    93.8   165.3   179.1   241.8   267.9   282.4   292.8   305.8   321.1   352.5   622.3  3316.3  8012.6   8232.7     8296
read      303.5   409.8    80.4   122.5   136.1   241.0   300.4   335.6   366.2   407.5   460.4   542.6  1497.1  6439.6 10171.8  69493.6    69443
read      273.9   195.2    86.8   157.3   173.7   256.1   288.6   306.3   318.4   334.6   356.0   397.8   641.0  2751.1  7907.8  12549.7    12517
read      406.6   574.7    80.4   134.9   152.8   308.4   409.0   463.1   497.8   535.6   584.8   691.6  2752.2  7987.8 13314.6  43626.4    43591
read      322.1   332.4    86.8   150.6   168.8   283.0   330.0   358.3   382.4   412.3   448.2   506.3  1330.7  4253.4 11043.6  20409.5    20430
read      296.9   458.3    68.9   123.8   138.2   233.7   284.0   312.2   333.7   362.4   408.7   502.0  1595.5  6741.3  9498.7  93784.6    93758
read      276.8   275.0    93.8   162.4   177.6   250.2   279.0   294.5   306.7   319.8   339.8   375.8   842.4  4397.6  8046.3  10464.9    10485
read      301.5   288.9    86.8   153.8   171.6   272.3   311.2   332.3   346.7   368.9   399.6   450.6   962.0  4622.2  7891.8  16493.8    16518
read      349.6   605.4    74.4   123.7   138.1   244.2   307.9   348.8   388.3   436.7   502.2   624.6  3251.0  7330.2  9927.6  83233.5    83230
read      242.8   208.0    93.8   162.9   174.2   224.0   245.1   257.2   266.7   276.7   292.3   317.2   609.2  2771.3  7903.8   5466.3     5484
read      381.4   593.7    80.4   128.9   144.4   273.4   347.4   408.4   454.7   508.7   580.4   729.3  2812.4  8114.7 12274.4  55537.9    55611
read      329.8   337.6    86.8   151.0   169.6   284.6   332.2   361.5   386.5   417.6   455.8   525.2  1550.6  4395.8 10408.1  20812.2    20774
read      291.3   433.9    74.4   123.7   138.0   233.1   283.1   310.8   331.5   358.6   401.3   489.2  1443.8  6606.8  9552.4  96641.8    96726
read      340.3   328.8    80.4   138.8   157.4   292.0   354.0   399.0   430.1   463.4   504.4   567.9  1493.9  4568.0  8182.2  32402.3    32442
read      339.5   571.4    80.4   125.4   139.8   250.1   312.2   351.1   388.5   435.0   495.2   589.9  2627.3  7841.9 13820.3  73158.7    73039
read      295.3   349.6    74.4   122.1   135.8   240.3   299.4   335.1   366.0   408.9   464.2   544.8  1086.0  5529.4  8712.4  74097.7    74055
read      380.1   555.8    80.4   130.3   147.0   281.8   358.7   418.5   461.8   509.7   567.1   680.7  2696.3  7836.4 12814.9  51201.7    51197
read      287.6   261.9    80.4   127.3   141.5   251.7   305.5   336.5   362.5   399.2   449.3   523.0   795.1  4046.8  8323.0  59482.1    59442
read      364.5   426.7    80.4   136.8   155.3   297.4   370.4   421.1   453.9   490.3   534.3   614.8  1935.3  6390.9 12251.8  35622.1    35654
read      361.7   632.6    74.4   126.4   141.0   249.6   310.7   349.9   388.7   441.0   511.8   654.9  3403.2  7860.4 11472.4  78730.1    78747
read      396.0   486.5    80.4   137.0   155.7   309.1   407.1   463.8   500.4   538.9   587.8   698.9  2380.3  7406.7 11317.5  42254.2    42212
read      385.9   560.0    74.4   134.4   151.1   280.8   357.2   419.8   468.8   528.1   606.0   768.6  2505.4  7872.0 14422.7  52461.3    52488
read      363.6   389.7    80.4   139.3   157.7   299.5   376.7   431.2   465.9   505.0   548.2   627.7  1729.3  5992.2  9625.9  36949.3    36950
