timestamp,core0,core1,core2,core3
2026-05-11T19:31:03.092558,memcached,memcached,memcached,idle
2026-05-11T19:31:03.360899,,,,freqmine
2026-05-11T19:31:03.609315,,idle,idle,
2026-05-11T19:31:03.816263,,canneal,,
2026-05-11T19:31:06.786093,,,barnes,
2026-05-11T19:31:18.442557,,memcached,,
2026-05-11T19:31:24.722056,,idle,,
2026-05-11T19:31:24.750178,,canneal,,
2026-05-11T19:31:27.075025,,memcached,,
2026-05-11T19:31:31.853288,,idle,,
2026-05-11T19:31:31.880155,,canneal,,
2026-05-11T19:31:34.205945,,memcached,,
2026-05-11T19:31:35.037441,,,memcached,
2026-05-11T19:31:47.320482,,,idle,
2026-05-11T19:31:47.343286,,,barnes,
2026-05-11T19:32:02.628462,,idle,,
2026-05-11T19:32:02.651502,,canneal,,
2026-05-11T19:32:17.484686,,memcached,,
2026-05-11T19:32:26.766202,,idle,,
2026-05-11T19:32:26.798829,,canneal,,
2026-05-11T19:32:29.615611,,memcached,,
2026-05-11T19:32:32.389662,,idle,,
2026-05-11T19:32:32.412295,,canneal,,
2026-05-11T19:32:47.250131,,memcached,,
2026-05-11T19:32:48.071042,,,memcached,
2026-05-11T19:33:32.385365,,idle,idle,
2026-05-11T19:33:32.403721,,canneal,,
2026-05-11T19:33:32.423161,,,barnes,
2026-05-11T19:34:02.753996,,memcached,,
2026-05-11T19:34:17.535581,,idle,,
2026-05-11T19:34:17.556042,,canneal,,
2026-05-11T19:34:47.714360,,,idle,
2026-05-11T19:34:47.950492,,,vips,
2026-05-11T19:35:03.095854,,memcached,,
2026-05-11T19:35:04.533793,,,memcached,
2026-05-11T19:35:17.311834,,idle,idle,
2026-05-11T19:35:17.328412,,canneal,,
2026-05-11T19:35:17.344851,,,vips,
2026-05-11T19:35:47.686912,,memcached,,
2026-05-11T19:35:48.490682,,,memcached,
2026-05-11T19:35:50.765178,,,idle,
2026-05-11T19:35:50.789308,,,vips,
2026-05-11T19:35:55.608642,,,memcached,
2026-05-11T19:35:57.882088,,,idle,
2026-05-11T19:35:57.904692,,,vips,
2026-05-11T19:36:02.175878,,idle,,
2026-05-11T19:36:02.193050,,canneal,,
2026-05-11T19:36:17.531407,,memcached,,
2026-05-11T19:36:32.310344,,idle,,
2026-05-11T19:36:32.726724,,canneal,,
2026-05-11T19:36:34.577506,,,idle,
2026-05-11T19:36:35.004309,,,blackscholes,
2026-05-11T19:36:48.012230,,memcached,,
2026-05-11T19:36:49.321752,,,memcached,
2026-05-11T19:37:02.100651,,,idle,
2026-05-11T19:37:02.118357,,,blackscholes,
2026-05-11T19:37:02.887644,,idle,,
2026-05-11T19:37:02.910318,,canneal,,
2026-05-11T19:37:17.759613,,memcached,,
2026-05-11T19:37:47.559222,,idle,,
2026-05-11T19:37:47.591731,,canneal,,
2026-05-11T19:37:50.908825,,memcached,,
2026-05-11T19:37:56.185783,,idle,,
2026-05-11T19:37:56.213026,,canneal,,
2026-05-11T19:37:59.030597,,memcached,,
2026-05-11T19:38:01.304512,,idle,,
2026-05-11T19:38:01.332784,,canneal,,
2026-05-11T19:38:03.666349,,memcached,,
2026-05-11T19:38:17.448793,,idle,,
2026-05-11T19:38:17.473864,,canneal,,
2026-05-11T19:38:30.815778,,,idle,
2026-05-11T19:38:31.196284,,,radix,
2026-05-11T19:38:32.304154,,memcached,,
2026-05-11T19:38:47.587084,,idle,,
2026-05-11T19:38:47.610921,,canneal,,
2026-05-11T19:39:02.795715,,idle,,
2026-05-11T19:39:02.901588,,memcached,,
2026-05-11T19:39:03.207791,,streamcluster,,
2026-05-11T19:39:03.244151,,memcached,,
2026-05-11T19:39:13.651982,,,idle,
2026-05-11T19:39:13.687256,,,streamcluster,
2026-05-11T19:39:13.708708,,streamcluster,,
2026-05-11T19:39:47.374229,,memcached,,
2026-05-11T19:39:54.713722,,,memcached,
2026-05-11T19:39:56.989292,,,idle,
2026-05-11T19:39:57.015058,,,streamcluster,
2026-05-11T19:40:17.848178,,,memcached,
2026-05-11T19:40:26.631085,,,idle,
2026-05-11T19:40:26.656089,,,streamcluster,
2026-05-11T19:40:28.974795,,,memcached,
2026-05-11T19:40:47.773540,,,idle,
2026-05-11T19:40:47.795574,,,streamcluster,
2026-05-11T19:40:50.612799,,,memcached,
2026-05-11T19:40:52.887356,,,idle,
2026-05-11T19:40:52.911599,,,streamcluster,
2026-05-11T19:41:02.689787,,idle,,
2026-05-11T19:41:02.716267,,streamcluster,,
2026-05-11T19:41:18.864899,,,,idle
2026-05-11T19:41:18.901221,,,,streamcluster
2026-05-11T19:41:32.538927,,memcached,,
2026-05-11T19:42:02.382196,,,memcached,
2026-05-11T19:42:17.168752,,,idle,
2026-05-11T19:42:17.197362,,,streamcluster,
2026-05-11T19:42:32.451758,,idle,,
2026-05-11T19:42:32.476502,,streamcluster,,
2026-05-11T19:42:47.793138,,memcached,,
2026-05-11T19:43:17.594204,,idle,,
2026-05-11T19:43:17.630903,,streamcluster,,
2026-05-11T19:43:32.923402,,memcached,,
2026-05-11T19:43:47.208673,,idle,,
2026-05-11T19:43:47.236560,,streamcluster,,
2026-05-11T19:44:02.544425,,memcached,,
2026-05-11T19:45:01.211612,,,idle,idle
