Timestamp start: 1778527861646
Timestamp end: 1778528941946

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      258.7   252.4   101.3   160.9   175.3   232.7   256.7   270.9   281.8   294.9   314.6   347.5   806.7  4057.5  7969.2   6887.0     6927
read      347.6   371.7    86.8   143.9   159.8   291.9   358.2   396.9   426.4   462.4   513.4   612.3  1614.5  5640.7  9285.6  52729.5    52892
read      395.1   548.0    86.8   151.6   169.1   288.3   348.0   382.8   408.7   443.5   500.8   711.9  3239.2  6292.2  9062.8  98931.1    98921
read      310.0   255.4    86.8   141.3   155.6   274.7   337.7   372.7   399.0   430.9   471.6   544.4   883.1  3203.6  8582.9  61156.1    61129
read      383.3   423.2    93.8   147.9   166.7   319.7   398.2   440.6   469.6   504.9   554.3   645.9  1856.4  6815.4  9366.9  40627.4    40613
read      346.0   382.9    86.8   144.1   160.0   290.7   355.9   394.0   422.8   458.4   507.3   601.7  1577.7  5914.3  9567.9  53272.1    53226
read      370.6   413.9    86.8   146.7   165.5   316.6   391.7   431.8   459.8   493.0   537.6   619.7  1599.2  6732.6 11901.7  38586.2    38560
read      321.4   351.7    86.8   150.2   166.5   270.5   325.9   357.4   380.2   406.9   444.3   513.3  1556.1  5149.1  9491.8 103440.7   103465
read      283.7   206.4    80.4   144.4   159.6   252.9   305.5   335.4   356.9   381.6   412.8   462.5   752.3  2893.9  7379.9 104856.4   104758
read      280.5   180.9    86.8   143.2   157.7   251.9   306.5   336.9   358.5   383.1   413.8   462.8   714.8  2313.5  7070.6  94916.1    94759
read      386.9   449.9    86.8   148.5   166.8   321.1   399.6   441.2   470.3   505.5   553.0   644.1  1960.1  7094.4 10679.1  37714.9    37799
read      254.2   177.0   101.3   158.4   174.3   237.4   264.4   278.8   289.9   302.8   319.3   347.1   593.9  2415.6  7746.8   8306.7     8296
read      351.8   431.9    86.8   142.8   157.1   274.9   340.1   379.7   411.0   451.6   506.0   616.3  2506.7  5538.9  8746.9  69420.4    69443
read      272.7   186.2    93.8   155.0   172.0   254.0   287.9   307.3   320.4   337.1   358.0   391.9   633.2  2768.2  7439.3  12519.9    12517
read      388.6   416.3    86.8   146.2   165.1   323.2   407.6   452.2   482.9   520.4   572.3   678.5  1876.8  6305.0 10373.1  43542.8    43591
read      336.7   370.2    93.8   153.6   173.3   293.7   343.0   369.7   388.8   410.8   441.0   502.3  1544.0  6624.2  9538.5  20464.1    20430
read      338.0   424.7    86.8   144.3   160.2   267.4   325.1   357.5   380.7   408.6   449.5   544.1  2456.0  5691.7  9577.3  93667.9    93758
read      271.1   217.0   101.3   158.2   175.7   250.9   280.9   297.4   310.7   325.3   344.8   378.3   686.9  3143.4  7843.5  10511.8    10485
read      308.1   295.0   101.3   155.5   174.4   276.3   316.9   339.1   355.1   373.2   398.5   440.9  1199.2  4794.5  7847.5  16554.1    16518
