Timestamp start: 1778531971715
Timestamp end: 1778533052065

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      257.7   304.5   109.4   154.6   168.5   225.6   247.6   260.8   270.5   283.4   301.6   341.0  1172.3  3977.7 14099.1   6924.6     6927
read      345.8   422.9    93.8   143.6   157.9   288.3   349.5   385.2   411.6   444.3   490.2   584.2  1760.1  6401.4  9486.4  52671.2    52892
read      326.2   344.2    86.8   148.8   164.8   272.0   327.9   359.2   381.5   407.9   445.1   523.0  1752.8  4658.3  8084.8  98963.8    98921
read      304.2   215.9    86.8   139.8   153.6   273.5   335.9   371.1   397.5   429.4   470.6   541.1   791.0  2862.6  7857.9  61327.0    61129
read      390.1   451.5    93.8   146.0   164.0   317.3   395.3   439.1   470.2   507.8   561.3   680.2  2130.5  6451.2 11030.7  40594.8    40613
read      314.6   305.7    93.8   140.5   153.9   278.1   337.4   370.5   395.2   425.1   464.8   538.0   955.9  4632.7  9321.5  53254.0    53226
read      414.2   560.7    86.8   146.5   164.3   321.4   399.0   441.7   471.2   507.0   561.5   700.6  2946.4  7769.9 10614.8  38530.2    38560
read      416.6   566.4    93.8   158.1   177.3   304.5   364.5   399.0   426.2   462.1   522.5   754.8  3428.1  5809.7  9137.4 103368.8   103465
read      285.6   189.3    93.8   145.3   161.0   258.5   310.8   339.9   360.9   385.2   415.9   464.2   710.2  2810.1  6728.9 104456.2   104758
read      293.4   204.7    93.8   144.6   160.3   264.2   319.3   349.3   370.7   395.6   427.6   482.2   810.6  2963.6  7153.7  94667.8    94759
read      347.4   287.4    93.8   144.9   162.0   310.2   379.9   419.3   447.4   479.6   522.0   591.2  1122.1  3824.5  9129.9  37716.6    37799
read      245.9   169.7   101.3   150.7   165.4   228.8   253.0   267.5   277.4   290.9   308.1   336.5   735.6  2552.8  7510.0   8282.2     8296
read      435.1   635.8    86.8   142.0   157.4   288.2   356.2   398.1   432.6   480.3   559.4  1393.3  3630.1  6578.2  8081.7  69101.8    69443
read      278.0   289.6   101.3   156.4   174.2   252.8   285.2   304.4   318.3   335.9   358.0   393.0   675.5  4318.6  9478.0  12441.8    12517
read      395.0   400.3    93.8   145.0   164.2   327.4   413.5   459.3   491.5   530.3   582.7   693.0  2140.9  5046.1  8056.0  43582.4    43591
read      319.4   286.9    93.8   149.8   166.9   287.9   336.0   362.2   380.7   402.0   430.5   479.9  1190.2  4469.1  7873.0  20539.4    20430
read      388.3   520.3    86.8   148.0   164.6   283.9   343.8   376.4   400.6   431.7   481.0   781.0  3154.0  5723.3  8041.3  93652.6    93758
read      259.0   141.8   109.4   154.9   171.5   244.3   272.3   289.2   301.5   316.7   337.0   368.1   530.7  2032.0  3847.4  10460.2    10485
read      294.8   224.3   101.3   152.5   171.0   274.2   316.0   338.3   354.2   372.5   396.6   432.7   671.7  3613.5  7848.8  16521.2    16518
read      436.6   677.3    86.8   145.0   161.9   284.2   347.5   382.6   408.4   442.9   500.9  1437.2  3729.3  7101.9  9855.6  83117.4    83230
read      236.8   145.1   101.3   159.3   172.2   222.4   242.7   254.3   264.1   274.2   290.1   316.3   528.4  2051.8  7125.6   5471.4     5484
read      322.7   214.2    86.8   141.6   156.9   285.4   350.0   388.7   417.9   454.2   504.2   604.8  1036.7  2441.8  5328.5  55306.4    55611
read      319.5   212.1   101.3   156.9   175.9   299.8   349.9   375.6   394.5   416.4   444.0   489.7   778.2  2801.4  7819.9  20707.2    20774
read      408.4   559.4    86.8   152.0   170.2   296.6   359.7   396.3   425.0   462.5   524.2   728.8  3421.2  6192.3 10014.9  96610.0    96726
read      344.7   319.2    93.8   146.9   164.1   305.7   369.9   406.1   432.0   461.9   500.3   566.8  1187.0  5418.2  8889.1  32345.2    32442
read      406.2   584.6    86.8   144.2   159.4   287.0   357.6   401.7   437.7   486.3   559.3   785.3  3306.7  7337.7  9133.4  72963.4    73039
read      324.5   335.9    86.8   140.1   154.1   269.4   338.1   379.2   411.1   451.2   502.0   586.8  1268.7  5508.8  8067.1  73776.6    74055
read      373.1   463.5    93.8   143.2   158.7   297.5   367.7   409.9   442.5   484.6   544.9   664.6  2417.7  6861.0  9039.7  51105.8    51197
read      297.0   189.1    93.8   139.5   152.4   271.6   332.4   366.2   391.1   421.0   460.3   522.2   736.1  2190.9  5770.7  59384.6    59442
read      350.5   274.5    93.8   145.3   162.1   313.5   385.0   423.1   450.0   480.9   522.2   593.6  1196.6  3572.7  7961.6  35544.8    35654
read      427.7   584.2    93.8   147.7   163.5   293.4   367.3   416.4   457.8   513.2   604.0  1060.9  3232.2  6738.0  8112.2  78678.4    78747
read      390.0   430.1    93.8   143.0   160.5   320.9   402.2   447.5   478.8   516.1   569.6   680.9  2142.6  6081.4  9042.1  42271.2    42212
read      322.2   294.4    93.8   140.6   154.4   285.5   348.0   386.3   414.6   449.4   497.2   584.2   871.3  4615.3  9980.4  52358.2    52488
read      366.9   329.8    93.8   145.3   162.6   320.7   396.8   436.5   463.9   496.1   539.8   621.2  1522.4  4633.3  8979.1  37110.2    36950
read      295.0   225.8   101.3   151.8   168.7   274.4   316.0   338.6   354.7   373.0   397.6   435.6   743.0  3135.2  7883.0  16798.6    16762
read      443.4   667.3    86.8   145.5   162.4   287.8   353.3   392.2   423.0   466.2   558.6  1475.4  3724.9  7341.7  9964.9  79450.8    79473
read      318.9   299.9    93.8   139.6   153.8   275.1   338.9   375.4   402.4   435.9   482.3   564.6  1087.0  4681.4  8038.4  61402.8    61431
read      304.3   218.1    86.8   142.8   158.2   263.5   321.6   354.4   377.4   404.4   445.0   549.0  1113.0  2577.4  5475.0  87019.0    87172
read      292.5   208.0    86.8   147.3   163.3   263.5   316.1   345.1   366.4   390.9   422.0   470.5   740.5  2954.0  7308.3 108046.0   108181
read      338.9   348.5    86.8   141.5   156.3   271.8   341.2   384.2   419.5   466.1   533.6   654.1  1615.8  4938.9  8173.8  80405.6    80515
read      360.9   349.9    93.8   144.1   162.1   314.4   386.9   425.6   453.0   485.0   528.6   607.3  1473.0  5155.6 10552.9  37179.8    37149
read      275.3   167.2   101.3   152.6   170.1   260.5   295.7   315.4   329.7   345.5   367.5   400.3   562.7  2166.3  7214.6  13457.4    13444
read      437.5   663.0    86.8   144.4   159.5   289.8   360.0   402.6   438.8   489.0   571.0  1316.8  3656.2  7547.5 10426.4  71968.2    72057
read      327.1   332.6    86.8   140.0   153.6   270.9   338.5   378.3   409.0   448.2   500.1   587.0  1512.8  4564.5  8062.5  70112.4    70041
read      289.7   208.0    86.8   141.3   155.9   255.9   312.0   342.5   364.5   390.2   424.2   489.8   926.2  2973.7  7566.4  90002.4    90162
read      442.1   551.2    93.8   148.3   165.8   312.6   397.0   458.1   512.4   595.6   740.0  1079.3  2812.7  7585.4 10283.3  52226.8    52082
read      320.3   276.3    93.8   151.6   169.7   288.7   338.1   366.0   386.6   410.9   443.4   499.6  1124.3  3713.9  7886.6  24244.4    24258
read      419.3   614.9    86.8   142.5   158.5   286.4   355.0   397.9   433.3   481.1   559.2  1021.4  3328.8  7282.1 13303.0  72015.4    72013
read      316.5   315.5    93.8   140.2   154.4   276.8   339.6   375.3   401.7   434.0   476.4   552.5   936.1  4341.3 11300.4  57795.6    58012
