interference,p95,QPS,target,run
no_interference,380.6,4959.8,5000,1
no_interference,422.2,9933.8,10000,1
no_interference,492.6,14987.0,15000,1
no_interference,517.7,20007.4,20000,1
no_interference,570.7,25069.0,25000,1
no_interference,627.4,30063.4,30000,1
no_interference,672.8,35056.0,35000,1
no_interference,709.8,40052.8,40000,1
no_interference,1141.1,45123.2,45000,1
no_interference,2365.7,48401.4,50000,1
no_interference,2458.1,47422.6,55000,1
no_interference,2501.2,46653.5,60000,1
no_interference,2477.9,47084.4,65000,1
no_interference,2535.7,45988.8,70000,1
no_interference,2467.1,47558.4,75000,1
no_interference,2500.8,46525.1,80000,1
no_interference,386.9,4969.8,5000,2
no_interference,421.0,9981.8,10000,2
no_interference,472.4,14966.0,15000,2
no_interference,529.1,20113.8,20000,2
no_interference,583.4,24986.8,25000,2
no_interference,639.8,29994.2,30000,2
no_interference,690.0,35044.0,35000,2
no_interference,749.2,39914.8,40000,2
no_interference,1187.1,44773.1,45000,2
no_interference,2434.4,47441.2,50000,2
no_interference,2505.2,46492.6,55000,2
no_interference,2539.3,45547.0,60000,2
no_interference,2498.1,46481.4,65000,2
no_interference,2471.2,47388.0,70000,2
no_interference,2544.3,45878.4,75000,2
no_interference,2551.9,45631.2,80000,2
no_interference,404.1,4987.4,5000,3
no_interference,438.5,10011.4,10000,3
no_interference,497.5,14949.6,15000,3
no_interference,554.6,19952.8,20000,3
no_interference,599.2,24913.8,25000,3
no_interference,642.5,30112.8,30000,3
no_interference,704.0,35069.8,35000,3
no_interference,1127.6,39886.8,40000,3
no_interference,1355.9,44895.2,45000,3
no_interference,2495.4,46446.6,50000,3
no_interference,2520.7,46296.0,55000,3
no_interference,2513.6,46357.6,60000,3
no_interference,2536.6,45847.6,65000,3
no_interference,2540.0,45983.8,70000,3
no_interference,2517.9,46430.0,75000,3
no_interference,2549.7,45974.4,80000,3
cpu,1231.0,5016.4,5000,1
cpu,1492.1,10000.4,10000,1
cpu,1620.1,14988.4,15000,1
cpu,1659.7,20080.8,20000,1
cpu,5524.3,23622.4,25000,1
cpu,5506.5,24288.4,30000,1
cpu,5534.6,24153.8,35000,1
cpu,5985.4,23621.4,40000,1
cpu,5469.9,23864.2,45000,1
cpu,5361.0,25186.0,50000,1
cpu,5505.6,24105.8,55000,1
cpu,5419.9,24597.2,60000,1
cpu,5430.9,24410.2,65000,1
cpu,5776.3,23883.2,70000,1
cpu,5738.7,24160.2,75000,1
cpu,6069.3,23479.0,80000,1
cpu,1489.3,4950.0,5000,2
cpu,1573.2,10024.0,10000,2
cpu,1673.1,14958.6,15000,2
cpu,1687.6,20039.0,20000,2
cpu,5530.7,23716.8,25000,2
cpu,5572.1,24080.2,30000,2
cpu,5961.3,23508.0,35000,2
cpu,5714.0,24000.8,40000,2
cpu,5931.5,23345.0,45000,2
cpu,5760.7,24013.0,50000,2
cpu,5460.7,24338.6,55000,2
cpu,5636.5,24233.2,60000,2
cpu,6058.0,23337.0,65000,2
cpu,5473.6,24411.0,70000,2
cpu,5826.3,23635.6,75000,2
cpu,5648.6,23876.4,80000,2
cpu,1502.3,4983.0,5000,3
cpu,1576.1,10055.8,10000,3
cpu,1643.1,15022.2,15000,3
cpu,1716.2,20016.4,20000,3
cpu,3377.8,24749.8,25000,3
cpu,5963.1,23418.2,30000,3
cpu,5775.5,23797.6,35000,3
cpu,5793.0,23980.6,40000,3
cpu,5470.6,24467.8,45000,3
cpu,5722.4,23861.6,50000,3
cpu,5535.4,23751.0,55000,3
cpu,5430.5,24902.8,60000,3
cpu,5546.5,23802.8,65000,3
cpu,5755.5,24044.0,70000,3
cpu,5696.9,24019.4,75000,3
cpu,5832.4,23857.0,80000,3
l1d,393.8,4982.6,5000,1
l1d,448.7,9992.8,10000,1
l1d,488.1,15045.8,15000,1
l1d,549.9,19853.4,20000,1
l1d,619.6,24985.8,25000,1
l1d,678.6,29971.8,30000,1
l1d,1863.4,34931.2,35000,1
l1d,3241.4,35497.2,40000,1
l1d,3318.3,35458.0,45000,1
l1d,3348.8,35231.6,50000,1
l1d,3337.1,35467.7,55000,1
l1d,3305.6,35668.4,60000,1
l1d,3336.1,35378.6,65000,1
l1d,3270.7,36126.2,70000,1
l1d,3258.2,36256.4,75000,1
l1d,3386.3,35072.6,80000,1
l1d,416.2,4962.8,5000,2
l1d,471.1,9996.4,10000,2
l1d,519.4,15013.4,15000,2
l1d,580.3,19966.4,20000,2
l1d,627.8,24966.4,25000,2
l1d,783.5,29980.2,30000,2
l1d,1837.0,35028.4,35000,2
l1d,3328.9,35204.4,40000,2
l1d,3406.1,34883.6,45000,2
l1d,3445.6,34298.6,50000,2
l1d,3159.6,37072.6,55000,2
l1d,3350.0,35328.4,60000,2
l1d,3368.3,35159.8,65000,2
l1d,3392.8,34758.6,70000,2
l1d,3348.8,35021.2,75000,2
l1d,3418.9,34449.0,80000,2
l1d,404.1,5006.2,5000,3
l1d,463.6,10036.6,10000,3
l1d,512.1,14950.8,15000,3
l1d,597.5,19940.0,20000,3
l1d,626.3,25077.4,25000,3
l1d,732.0,29905.1,30000,3
l1d,2351.3,35010.2,35000,3
l1d,3247.8,36267.4,40000,3
l1d,3376.3,34703.4,45000,3
l1d,3255.6,36112.4,50000,3
l1d,3349.1,34882.6,55000,3
l1d,3135.5,36942.4,60000,3
l1d,3311.5,35279.6,65000,3
l1d,3276.3,35982.4,70000,3
l1d,3367.5,35058.6,75000,3
l1d,3710.5,32531.6,80000,3
l1i,1593.7,5026.4,5000,1
l1i,1657.4,10073.4,10000,1
l1i,1670.5,14994.0,15000,1
l1i,1720.6,19953.2,20000,1
l1i,5635.9,23438.8,25000,1
l1i,5771.7,23715.2,30000,1
l1i,5765.3,23672.6,35000,1
l1i,5885.6,23436.0,40000,1
l1i,6464.6,23013.8,45000,1
l1i,5805.3,23551.8,50000,1
l1i,5673.4,23780.8,55000,1
l1i,5865.0,23930.0,60000,1
l1i,5496.6,24186.6,65000,1
l1i,5816.3,23755.6,70000,1
l1i,5547.0,24053.2,75000,1
l1i,5780.3,23882.0,80000,1
l1i,1563.3,4974.2,5000,2
l1i,1605.1,10019.2,10000,2
l1i,1662.2,14919.6,15000,2
l1i,1775.6,19998.2,20000,2
l1i,5274.5,23606.6,25000,2
