benchmark,suite,input_size,threads,interference,run,real_sec,user_sec,sys_sec,cpu_util
barnes,splash2x,native,1,none,1,139.49,137.826,1.58,0.988
barnes,splash2x,native,1,cpu,1,219.27,209.505,6.055,0.955
barnes,splash2x,native,1,l1d,1,252.21,249.87,2.205,0.991
barnes,splash2x,native,1,l1i,1,306.938,296.748,5.546,0.967
barnes,splash2x,native,1,l2,1,245.797,243.603,1.987,0.991
barnes,splash2x,native,1,llc,1,356.962,342.835,8.214,0.96
barnes,splash2x,native,1,membw,1,250.508,231.525,2.864,0.924
blackscholes,parsec,simlarge,,none,1,0.877,0.846,0.007,0.965
blackscholes,parsec,simlarge,,cpu,1,1.618,1.514,0.047,0.936
blackscholes,parsec,simlarge,,l1d,1,1.182,1.146,0.014,0.97
blackscholes,parsec,simlarge,,l1i,1,1.428,1.278,0.022,0.895
blackscholes,parsec,simlarge,,l2,1,1.17,1.149,0.016,0.982
blackscholes,parsec,simlarge,,llc,1,1.262,1.195,0.032,0.947
blackscholes,parsec,simlarge,,membw,1,1.158,1.092,0.046,0.943
canneal,parsec,simlarge,,none,1,17.871,16.502,1.151,0.923
canneal,parsec,simlarge,,cpu,1,19.772,18.697,0.589,0.946
canneal,parsec,simlarge,,l1d,1,19.121,18.546,0.486,0.97
canneal,parsec,simlarge,,l1i,1,14.442,13.899,0.298,0.962
canneal,parsec,simlarge,,l2,1,14.436,14.113,0.31,0.978
canneal,parsec,simlarge,,llc,1,20.611,19.411,0.838,0.942
canneal,parsec,simlarge,,membw,1,12.978,12.429,0.3,0.958
freqmine,parsec,simlarge,,none,1,9.361,7.463,0.909,0.797
freqmine,parsec,simlarge,,cpu,1,13.473,6.554,0.42,0.486
freqmine,parsec,simlarge,,l1d,1,8.489,7.145,0.368,0.842
freqmine,parsec,simlarge,,l1i,1,13.328,6.668,0.228,0.5
freqmine,parsec,simlarge,,l2,1,8.499,7.09,0.433,0.834
freqmine,parsec,simlarge,,llc,1,11.569,10.997,0.395,0.951
freqmine,parsec,simlarge,,membw,1,10.331,9.819,0.264,0.95
radix,splash2x,,1,none,1,64.463,53.315,11.096,0.827
radix,splash2x,,1,cpu,1,60.065,55.127,4.326,0.918
radix,splash2x,,1,l1d,1,67.505,62.247,5.202,0.922
radix,splash2x,,1,l1i,1,69.038,57.137,10.937,0.828
radix,splash2x,,1,l2,1,67.652,62.426,5.172,0.923
radix,splash2x,,1,llc,1,92.53,83.611,7.39,0.904
radix,splash2x,,1,membw,1,62.025,56.434,4.6,0.91
streamcluster,parsec,,,none,1,11.025,11.005,0.013,0.998
streamcluster,parsec,,,cpu,1,14.502,14.309,0.033,0.987
streamcluster,parsec,,,l1d,1,14.208,14.18,0.012,0.998
streamcluster,parsec,,,l1i,1,16.11,15.884,0.048,0.986
streamcluster,parsec,,,l2,1,14.387,14.354,0.019,0.998
streamcluster,parsec,,,llc,1,20.01,19.573,0.058,0.978
streamcluster,parsec,,,membw,1,14.069,13.702,0.058,0.974
vips,parsec,native,,none,1,112.854,112.351,4.987,0.996
vips,parsec,native,,cpu,1,197.152,187.09,4.257,0.949
vips,parsec,native,,l1d,1,223.128,222.018,4.436,0.995
vips,parsec,native,,l1i,1,205.52,198.1,3.489,0.964
vips,parsec,native,,l2,1,207.338,206.065,6.076,0.994
vips,parsec,native,,llc,1,209.971,201.498,4.687,0.96
vips,parsec,native,,membw,1,206.606,192.819,6.977,0.933
